#date		tracks	albums	artists	moderations TRMIDs
9 11 2000	165166	19255	10059
7 1 2001	213772	28449	14317
5 2 2001	229293	30898	14630	7137
24 2 2001	242748	33831	15748	9799
1 3 2001	246205	34399	15935	10101	
1 4 2001	260788	36307	15859	12465	19505
6 4 2001	263103	36573	15900	12777	21176	
16 5 2001	283248	38874	16496	15340	33184
3 6 2001	282550	37028	16601	17694	35966
21 7 2001	285424	37288	16669	21214	42432
15 8 2001	286684	37451	16717	21436	41328
26 9 2001	288479	37618	16876	22693	45039
20 10 2001	289552	37629	17041	24792	48138
17 11 2001	290620	37654	17372	26578	51402
24 12 2001	283481	31005	15010	33494	58227
